id	logFC	AveExpr	t	P.Value	adj.P.Val	B
BCHE	-1.82911676883697	4.13691013729825	-11.693348004905	1.82368092853155e-28	2.64465599262345e-27	53.7085354131045
SCGB1A1	-3.08094649589014	5.75661734445614	-11.6458532624312	2.86204622824039e-28	4.07638547922365e-27	53.2620818395405
CXCR2	-1.05499667667845	3.91191866242105	-11.5901150748022	4.85024825362665e-28	6.74044446054887e-27	52.7395647604621
MGLL	-1.15577439533653	6.39096817189474	-11.5873913307063	4.97670287115755e-28	6.90792783487666e-27	52.7140706626014
BMP2	-1.52234618348063	5.37313759570175	-11.5821892277137	5.22740044499224e-28	7.2398919187376e-27	52.665389542466
COL5A2	1.34764131668552	6.65081762868421	11.5347235402952	8.18027019492438e-28	1.12058985159292e-26	52.2218319719582
MMP1	2.66228618711538	5.38303882689474	11.5251285131811	8.95411357493946e-28	1.22259213425833e-26	52.1323055107422
COL3A1	1.33467390871889	7.62709462817544	11.4950364517127	1.18851760036189e-27	1.61053119323337e-26	51.851831634936
SCG5	2.06175106476103	5.17538599103509	11.4379592009083	2.03111768787559e-27	2.66316246054993e-26	51.3210974120733
ZFPM2	-1.13161378257565	4.22572218026316	-11.2747586832192	9.31629261488609e-27	1.15514663766394e-25	49.812737288931
CRYAB	-1.12808100713235	5.58865622835088	-11.2510579593867	1.16097020907739e-26	1.42822099838266e-25	49.5948263367044
CXCL13	2.44538777083639	5.55190144917544	11.1690333017905	2.48104327900007e-26	2.93976686165183e-25	48.8429242898229
REEP1	-1.1881965883159	4.69096106926316	-11.0754617696089	5.87528609125755e-26	6.77601928980696e-25	47.9894802182477
PLA1A	-1.27716497131999	4.86913348324561	-10.9872757773493	1.31842392969241e-25	1.47710566694468e-24	47.1893991224799
CLU	-1.08281099275099	5.37685334085965	-10.9671363832229	1.58478628658576e-25	1.76449852032636e-24	47.0072632501919
CCNE2	1.26991048015696	4.44101377696491	10.9606887830447	1.6808768190682e-25	1.86321928671977e-24	46.9489986156958
UNC13B	-1.01064116715285	6.33164422319298	-10.943267851641	1.97044008492728e-25	2.16886685839189e-24	46.7916835256251
SLC6A8	1.48054713694641	5.41573320563158	10.8849143475324	3.35172320185694e-25	3.62876813950827e-24	46.2659278761039
PDK4	-1.17402388910845	4.22814139052632	-10.8708944510607	3.80696878858795e-25	4.09689917317338e-24	46.1398849029789
HCK	-1.05517269438632	5.78094868868421	-10.8413577646955	4.97688502603312e-25	5.30585839478876e-24	45.8746902191754
GPRASP1	-1.08764734289239	4.74638592954386	-10.4256977827532	2.05509626421096e-23	1.94181836771982e-22	42.1937201965873
UGT8	1.25963243010181	4.46321566619298	10.1346015032568	2.6272073569415e-22	2.27982004943997e-21	39.674118499118
SELE	-1.40392357580104	3.30397509545614	-10.0980153929046	3.6065388464893e-22	3.10177172349196e-21	39.3609310739764
SFTPB	-2.20520560610011	7.64834645045614	-10.0395656641237	5.97327337091776e-22	5.04052684991769e-21	38.862221894183
IL6	-1.51992735863405	5.53992945287719	-9.52728065793073	4.56091488809724e-20	3.3254131328207e-19	34.5792364059141
COL5A1	1.05665945989748	5.91785732933333	9.51437681820465	5.07678271126038e-20	3.67802941460134e-19	34.4734325108666
FCER1G	-1.00978138144232	6.4585350865614	-9.31819469405174	2.55617661362056e-19	1.77111563488187e-18	32.8777411515236
NQO1	1.35477899190541	6.29301405207018	9.17232715870557	8.37089262539514e-19	5.58415527184786e-18	31.7071495831831
SLC7A11	1.19335958380727	4.47408181124561	8.75051607941796	2.394591874771e-17	1.42946426473009e-16	28.4000472618385
PLN	-1.00329399842265	4.33509710452632	-8.64512410949943	5.4356350716812e-17	3.16062784427506e-16	27.5922125589809
FMO3	-1.03341043044259	4.6543481052807	-8.53009646440803	1.31871916567595e-16	7.42030856094255e-16	26.7191093083083
TNFSF10	-1.02895224613334	6.79073472924561	-8.50499124245838	1.59825593157781e-16	8.92122572483912e-16	26.5297516823286
SLC34A2	-1.52143080696267	6.78486299914035	-8.46104513496808	2.23540606118665e-16	1.23567732404273e-15	26.1993266371139
ICAM1	-1.01961003017958	5.86983830266667	-8.38904775805135	3.86231771672768e-16	2.09078355088433e-15	25.6608633907224
CP	1.51448521172229	5.55834133385965	8.19669758541237	1.63606201939088e-15	8.41365008988391e-15	24.2399624635557
CCL2	-1.11216773319145	6.58980639047368	-8.04669376800823	4.95481440424322e-15	2.43053210103377e-14	23.1499360568999
SYT1	1.06380401478861	3.85556931326316	7.79643422503265	3.03828220517377e-14	1.40008685679473e-13	21.3671979370321
EEF1A2	1.02772619547299	4.3297315484386	7.70586971963087	5.79275030230803e-14	2.60248588590624e-13	20.733240328834
AKR1B10	2.04763274379313	4.96739723207018	7.59952481901175	1.22661155420871e-13	5.37038443203451e-13	19.9964973482515
KRT6B	1.53249532306278	5.06144646307018	7.13343889810228	2.98119513785691e-12	1.16101913686619e-11	16.8670531663552
CLGN	1.05964564998869	4.13037777310526	6.92607442514905	1.17036377167973e-11	4.34746139935975e-11	15.5278799670519
IGHM	1.04326443509686	6.16014441478947	6.8864966333901	1.51381728775002e-11	5.57376153952089e-11	15.2760682740103
PTGS2	-1.07247360612273	5.1385551377193	-5.74615216655917	1.48696312269658e-08	4.20898111066922e-08	8.55865331577926
CHGB	1.28769194233032	4.35228278247368	5.62388860139858	2.92629699013388e-08	8.07724914918607e-08	7.90193026062406
SCG2	1.1723587102418	4.38875070066667	5.41045351962351	9.26432013650098e-08	2.44837171593964e-07	6.78586033721875
